CustomerID,Name,Age,Gender,Country,IncomeLevel,CustomerTier
0001,Roxine Stemp,42,Male,India,Low,Silver
0002,Gery Pressman,59,Male,India,Low,Silver
0003,Odelinda Raspin,79,Female,India,Medium,Gold
0004,Marve Curnick,23,Female,Singapore,High,Gold
0005,Darn Barrett,39,Female,Qatar,Medium,Gold
0006,Franchot Higbin,37,Female,Australia,High,Bronze
0007,Tim Bilston,33,Transgender,India,Medium,Gold
0008,Cilka Santorini,75,Female,United States,Medium,Silver
0009,Jacquelin Dreher,57,Female,Canada,High,Gold
0010,Isak Slemming,70,Male,Malaysia,Low,Platinum
0011,Patrizius Fairham,39,Male,India,Medium,Platinum
0012,Imojean Pyner,41,Female,India,Medium,Gold
0013,Ash Emerton,32,Female,India,Medium,Silver
0014,Jaymie Corness,32,Female,United States,High,Silver
0015,Marika Warrick,23,Female,Hong Kong,Low,Gold
0016,Mavis Chipperfield,47,Female,United Arab Emirates,Medium,Silver
0017,Jobie Chuney,12,Female,Japan,Medium,Silver
0018,Kaiser Bathurst,32,Female,Singapore,Medium,Gold
0019,Corty Kleinschmidt,55,Female,India,High,Silver
0020,Aubert Goudy,40,Male,India,Medium,Gold
0021,Orazio Hoggan,52,Female,India,High,Platinum
0022,Emilee Petruskevich,41,Female,India,High,Gold
0023,Penny Scalia,39,Transgender,Singapore,Medium,Gold
0024,Cyndia Mattea,22,Female,Japan,High,Silver
0025,Merwyn Woodington,10,Transgender,Australia,Low,Gold
0026,Laurie Hull,65,Transgender,Australia,Low,Silver
0027,Allix Milson,55,Male,India,Low,Gold
0028,Rudolfo Vango,14,Male,India,Low,Bronze
0029,Torrin Hook,11,Female,United States,Medium,Gold
0030,Lenka Lattos,18,Female,United States,Medium,Silver
0031,Doria Pierro,47,Female,Canada,High,Gold
0032,Talya O'Gorman,63,Female,India,Medium,Silver
0033,Teddi Penley,36,Male,United Arab Emirates,Medium,Gold
0034,Nathalie De Rye Barrett,63,Female,India,Medium,Gold
0035,Pen Peyzer,81,Female,Australia,Low,Gold
0036,Derrik Boddy,60,Female,India,High,Silver
0037,Tremain Zorzin,56,Female,India,High,Gold
0038,Leonora Goulbourn,32,Transgender,United States,Medium,Silver
0039,Sherrie Ellick,73,Female,India,Medium,Silver
0040,Howey Drews,85,Female,India,Medium,Gold
0041,Linzy Prettjohn,21,Female,Singapore,High,Gold
0042,Leshia Mussotti,83,Male,India,Medium,Gold
0043,Kiley Whinney,43,Male,India,Medium,Gold
0044,Stephenie Lease,16,Female,India,Low,Gold
0045,Milka Shelly,67,Female,India,Medium,Gold
0046,Berry Hasselby,44,Male,Singapore,Low,Gold
0047,Rikki Jouhning,76,Male,United States,Low,Gold
0048,Kary Beastall,51,Female,United States,Medium,Bronze
0049,Ganny Foyston,58,Female,India,Medium,Silver
0050,Tori Reboul,42,Female,India,Medium,Silver
0051,Jane Castana,54,Male,India,High,Silver
0052,Nedi Gerleit,50,Female,Australia,Medium,Silver
0053,Addia Cassley,78,Female,India,Medium,Gold
0054,Fey Govinlock,27,Female,United States,Low,Gold
