CustomerID,Name,Age,Gender,Country,IncomeLevel,CustomerTier,Date,Product Type,Channel Type,Order Amount,support_interacation_count,problem type,support_resolution_time,resolution_satisfication,website_logins/day,browsing_time/hr,email_open_rate,ChurnIndicator
1,Roxine Stemp,42,Male,India,Low,Silver,10-04-2023,Skincare,Online,5638,6,Other,4,4,2,4.3,4,1
2,Gery Pressman,59,Male,India,Low,Silver,10-06-2023,Makeup,Offline,820,4,Side Effects,20,5,3,2.3,0,1
3,Odelinda Raspin,79,Female,India,Medium,Gold,03-08-2024,Skincare,Online,7526,8,Product Quality,12,6,6,3.7,6,1
4,Marve Curnick,23,Female,Singapore,High,Gold,02-06-2024,Skincare,Online,5696,3,Product Quality,7,7,7,1.1,4,0
5,Darn Barrett,39,Female,Qatar,Medium,Gold,02-10-2023,Haircare,Online,8886,9,Late Delivery,11,8,10,3.1,3,1
6,Franchot Higbin,37,Female,Australia,High,Bronze,11-03-2024,Haircare,Online,2472,2,Other,20,3,8,5.2,5,0
7,Tim Bilston,33,Transgender,India,Medium,Gold,01-12-2024,Skincare,Online,7399,10,Other,24,5,1,1.3,6,0
8,Cilka Santorini,75,Female,United States,Medium,Silver,09-09-2023,Makeup,Online,3375,2,Late Delivery,2,10,3,3.4,5,1
9,Jacquelin Dreher,57,Female,Canada,High,Gold,11/24/2023,Skincare,Online,4256,6,Product Quality,21,3,3,1.8,6,1
10,Isak Slemming,70,Male,Malaysia,Low,Platinum,08-09-2023,Skincare,Offline,6333,7,Side Effects,8,9,5,4.9,6,0
11,Patrizius Fairham,39,Male,India,Medium,Platinum,11-11-2024,Makeup,Offline,7366,6,Product Quality,7,4,1,3.8,4,0
12,Imojean Pyner,41,Female,India,Medium,Gold,1/26/2024,Makeup,Online,1221,9,Wrong Item Received,14,6,5,0.3,1,1
13,Ash Emerton,32,Female,India,Medium,Silver,4/27/2024,Skincare,Online,3452,7,Product Quality,14,10,4,0.4,6,1
14,Jaymie Corness,32,Female,United States,High,Silver,9/20/2024,Haircare,Online,4673,9,Product Quality,11,8,7,4.1,4,0
15,Marika Warrick,23,Female,Hong Kong,Low,Gold,12-05-2023,Makeup,Online,3571,1,Side Effects,1,2,4,2.1,6,0
16,Mavis Chipperfield,47,Female,United Arab Emirates,Medium,Silver,4/22/2024,Makeup,Online,9892,3,Product Quality,19,9,8,3.6,2,0
17,Jobie Chuney,12,Female,Japan,Medium,Silver,8/17/2024,Skincare,Offline,5511,5,Side Effects,21,2,1,2.8,1,1
18,Kaiser Bathurst,32,Female,Singapore,Medium,Gold,4/24/2023,Makeup,Online,8331,9,Product Quality,3,4,9,5.4,6,1
19,Corty Kleinschmidt,55,Female,India,High,Silver,5/26/2023,Haircare,Online,4208,10,Late Delivery,14,4,5,2.2,2,1
20,Aubert Goudy,40,Male,India,Medium,Gold,3/23/2023,Makeup,Offline,4167,8,Product Quality,17,10,3,1.9,6,1
21,Orazio Hoggan,52,Female,India,High,Platinum,03-08-2024,Makeup,Online,9478,3,Product Quality,21,5,6,1.2,2,0
22,Emilee Petruskevich,41,Female,India,High,Gold,7/21/2024,BodyCare,Online,6780,1,Side Effects,23,7,7,4.9,4,1
23,Penny Scalia,39,Transgender,Singapore,Medium,Gold,02-04-2023,BodyCare,Online,3404,10,Product Quality,20,4,2,5.0,5,1
24,Cyndia Mattea,22,Female,Japan,High,Silver,1/17/2024,Makeup,Online,7393,9,Product Quality,16,5,3,5.8,5,1
25,Merwyn Woodington,10,Transgender,Australia,Low,Gold,10/30/2024,Skincare,Online,2978,7,Product Quality,9,4,3,3.9,2,0
26,Laurie Hull,65,Transgender,Australia,Low,Silver,7/24/2024,Skincare,Online,1161,4,Late Delivery,22,4,5,1.6,2,1
27,Allix Milson,55,Male,India,Low,Gold,02-05-2024,BodyCare,Offline,3573,2,Late Delivery,15,5,0,5.2,6,1
28,Rudolfo Vango,14,Male,India,Low,Bronze,08-03-2023,Skincare,Offline,812,10,Wrong Item Received,3,7,2,3.4,4,0
29,Torrin Hook,11,Female,United States,Medium,Gold,2/24/2024,BodyCare,Online,2371,2,Side Effects,14,6,8,5.6,5,0
30,Lenka Lattos,18,Female,United States,Medium,Silver,7/15/2024,Makeup,Online,3293,6,Other,4,6,5,2.1,4,1
31,Doria Pierro,47,Female,Canada,High,Gold,01-05-2023,Makeup,Offline,5319,4,Product Quality,3,9,7,0.0,4,1
32,Talya O'Gorman,63,Female,India,Medium,Silver,7/19/2023,Makeup,Offline,9961,1,Late Delivery,24,7,0,3.4,0,0
33,Teddi Penley,36,Male,United Arab Emirates,Medium,Gold,11/28/2024,Makeup,Online,5953,1,Side Effects,17,8,9,1.9,6,1
34,Nathalie De Rye Barrett,63,Female,India,Medium,Gold,04-07-2024,Makeup,Online,8216,6,Side Effects,7,8,6,3.3,6,1
35,Pen Peyzer,81,Female,Australia,Low,Gold,6/25/2024,Makeup,Offline,5155,1,Product Quality,13,1,3,2.0,2,1
36,Derrik Boddy,60,Female,India,High,Silver,4/21/2024,Makeup,Online,2668,10,Late Delivery,8,9,9,4.4,2,1
37,Tremain Zorzin,56,Female,India,High,Gold,4/14/2024,Makeup,Online,9156,10,Wrong Item Received,13,2,8,3.2,6,1
38,Leonora Goulbourn,32,Transgender,United States,Medium,Silver,12/27/2023,Skincare,Online,1403,1,Product Quality,10,3,2,4.2,2,1
39,Sherrie Ellick,73,Female,India,Medium,Silver,3/21/2023,Makeup,Offline,5997,3,Product Quality,8,7,1,4.3,5,1
40,Howey Drews,85,Female,India,Medium,Gold,5/29/2024,Skincare,Offline,9974,10,Product Quality,21,8,4,1.0,3,1
41,Linzy Prettjohn,21,Female,Singapore,High,Gold,9/29/2024,Skincare,Online,2173,5,Late Delivery,15,10,10,5.3,3,1
42,Leshia Mussotti,83,Male,India,Medium,Gold,09-06-2024,Makeup,Online,6417,10,Side Effects,5,4,10,4.9,1,0
43,Kiley Whinney,43,Male,India,Medium,Gold,02-10-2024,Makeup,Online,4677,3,Late Delivery,11,5,1,5.7,2,1
44,Stephenie Lease,16,Female,India,Low,Gold,7/18/2024,Makeup,Online,8066,6,Product Quality,14,7,3,0.7,2,0
45,Milka Shelly,67,Female,India,Medium,Gold,4/23/2024,Makeup,Online,10173,4,Product Quality,11,8,7,2.3,0,1
46,Berry Hasselby,44,Male,Singapore,Low,Gold,02-09-2023,Makeup,Offline,7620,6,Product Quality,4,8,7,2.9,2,1
47,Rikki Jouhning,76,Male,United States,Low,Gold,1/23/2024,Makeup,Online,2932,6,Late Delivery,18,9,4,1.6,6,1
48,Kary Beastall,51,Female,United States,Medium,Bronze,4/27/2024,Makeup,Offline,2009,1,Late Delivery,4,3,1,0.0,3,0
49,Ganny Foyston,58,Female,India,Medium,Silver,7/31/2024,Skincare,Online,6594,7,Product Quality,15,5,4,0.8,0,1
50,Tori Reboul,42,Female,India,Medium,Silver,7/29/2024,Skincare,Offline,5324,1,Product Quality,11,4,9,4.6,2,1
51,Jane Castana,54,Male,India,High,Silver,06-09-2023,BodyCare,Offline,10547,4,Product Quality,12,7,3,5.4,6,1
52,Nedi Gerleit,50,Female,Australia,Medium,Silver,01-01-2024,Makeup,Online,9957,10,Product Quality,4,2,5,3.9,6,0
53,Addia Cassley,78,Female,India,Medium,Gold,08-12-2024,Skincare,Online,10453,8,Late Delivery,24,9,10,2.7,2,0
54,Fey Govinlock,27,Female,United States,Low,Gold,01-07-2023,BodyCare,Online,2138,5,Product Quality,20,5,10,3.7,5,1
55,Irv Ducker,12,Transgender,Qatar,Medium,Gold,11/24/2023,Makeup,Online,2401,1,Product Quality,16,8,6,6.0,5,1
56,Carlyn Partlett,77,Female,Qatar,Low,Gold,04-02-2023,Skincare,Online,9225,10,Late Delivery,4,1,2,3.7,0,0
57,Delora Karpeev,67,Male,India,Medium,Gold,6/28/2024,Makeup,Offline,1907,2,Side Effects,7,5,2,2.6,1,0
58,Shaughn Seivwright,69,Male,United States,High,Gold,11/17/2024,Makeup,Online,3914,9,Late Delivery,9,3,0,1.5,3,1
59,Theodor Dziwisz,84,Female,India,Low,Gold,8/25/2024,Skincare,Online,5438,2,Wrong Item Received,12,10,2,2.6,6,0
60,Wandie Suttaby,70,Male,India,Low,Silver,01-03-2024,Makeup,Online,6585,3,Product Quality,22,10,1,0.0,3,1
61,Irvine Glenny,77,Female,India,Low,Silver,10/16/2023,Makeup,Offline,9004,9,Product Quality,9,5,10,0.9,4,0
62,Padgett Borsay,80,Male,India,High,Platinum,2/14/2024,Makeup,Online,5683,2,Product Quality,16,2,6,2.0,1,0
63,Belva Mewett,43,Female,India,Low,Silver,12-08-2023,Haircare,Online,5835,7,Product Quality,8,3,0,2.9,0,0
64,Celestina Daudray,70,Female,United States,Medium,Silver,3/26/2024,Makeup,Online,3869,2,Side Effects,1,5,2,1.6,0,1
65,Alasdair Ardley,29,Female,India,High,Gold,1/13/2024,Makeup,Online,4871,1,Product Quality,1,10,10,4.2,6,1
66,Nerta Airth,36,Male,India,Medium,Silver,3/22/2024,Makeup,Online,1370,10,Product Quality,13,5,6,1.7,0,1
67,Ursa Zebedee,58,Female,Australia,High,Silver,01-06-2023,Makeup,Online,3189,5,Product Quality,8,4,5,2.3,1,1
68,Elihu Shalloo,71,Female,Singapore,Low,Gold,11-08-2023,Skincare,Online,8692,8,Late Delivery,16,9,7,2.6,4,1
69,Lilith Fletcher,70,Male,India,Medium,Gold,3/16/2024,Makeup,Offline,7836,3,Side Effects,15,7,1,0.0,6,1
70,Christoforo Palatino,65,Female,India,Medium,Gold,5/25/2023,Makeup,Offline,3491,3,Side Effects,3,1,7,5.4,6,1
71,Devlin Dufour,50,Male,India,High,Platinum,9/27/2024,Skincare,Online,1518,2,Product Quality,1,9,10,1.7,2,1
72,Vinnie Ashlee,78,Female,India,Medium,Silver,12-12-2023,Skincare,Online,5035,4,Product Quality,24,6,1,5.3,1,1
73,Edin Spillane,73,Male,United States,Medium,Gold,5/28/2024,BodyCare,Online,9698,6,Product Quality,24,9,0,0.7,0,1
74,Anstice Byham,67,Female,India,Medium,Silver,4/29/2023,Makeup,Online,4339,9,Product Quality,9,7,0,2.1,5,1
